Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-03 00:00:00+05:30,1300.5858250252782,1312.545234910568,1284.241273850567,1287.281005859375,9037536,0.0,0.0
2024-01-04 00:00:00+05:30,1289.6230276428519,1300.511122346772,1285.1881284905055,1293.933349609375,9612778,0.0,0.0
2024-01-05 00:00:00+05:30,1297.0477909447786,1305.4942215456497,1294.6061267435991,1299.439697265625,8086406,0.0,0.0
2024-01-08 00:00:00+05:30,1300.5858388723832,1311.5236916149431,1280.1302403318166,1289.2991943359375,7734652,0.0,0.0
2024-01-09 00:00:00+05:30,1295.60276290932,1298.991286774565,1284.241298964633,1285.8857421875,5403074,0.0,0.0
2024-01-10 00:00:00+05:30,1284.1416956169662,1325.0030146082704,1283.170017850485,1320.568115234375,11102740,0.0,0.0
2024-01-11 00:00:00+05:30,1325.0029743810333,1357.8913520828567,1324.0063568749174,1355.3001708984375,23725852,0.0,0.0
2024-01-12 00:00:00+05:30,1355.3001651813313,1368.6796821500511,1341.1980031977973,1366.0885009765625,15012164,0.0,0.0
2024-01-15 00:00:00+05:30,1370.3491134322044,1391.726510938781,1361.37955559883,1389.409423828125,8610594,0.0,0.0
2024-01-16 00:00:00+05:30,1385.273396211656,1391.5770749435692,1365.864294576788,1369.975341796875,9069024,0.0,0.0
2024-01-17 00:00:00+05:30,1354.9014277988692,1381.5858844431966,1350.4415890267092,1356.9693603515625,12197382,0.0,0.0
2024-01-18 00:00:00+05:30,1346.8289291583083,1366.3626080491183,1346.6794122001247,1363.3228759765625,10279438,0.0,0.0
2024-01-19 00:00:00+05:30,1371.3457134567918,1371.3457134567918,1354.4032155434447,1362.8245849609375,10422704,0.0,0.0
2024-01-23 00:00:00+05:30,1367.1100641823,1367.1100641823,1318.076531538343,1324.0810546875,20055420,0.0,0.0
2024-01-24 00:00:00+05:30,1330.708579978037,1344.935319152724,1319.4468751981772,1339.329345703125,21919128,0.0,0.0
2024-01-25 00:00:00+05:30,1338.4074168042384,1359.5357807014761,1330.6836312147743,1348.4981689453125,11808872,0.0,0.0
2024-01-29 00:00:00+05:30,1359.8845391743644,1447.5868766220333,1355.5742172752682,1443.1519775390625,23893438,0.0,0.0
2024-01-30 00:00:00+05:30,1455.0116072188218,1455.0365469867197,1399.6745202625193,1402.8636474609375,14093978,0.0,0.0
2024-01-31 00:00:00+05:30,1399.250967578091,1429.3986469009094,1397.7560413306783,1421.7994384765625,15130226,0.0,0.0
